Time,Open,High,Low,Close,Volume,Trades
2026-08-27 01:00:00,8.5,9.6,7.749,7.749,21950.9,393
2026-08-27 02:00:00,7.7338,8.0523,7.29,7.6788,17716.6,618
2026-08-27 03:00:00,7.67,8.0932,7.5455,7.9184,3321.2,188
2026-08-27 04:00:00,7.9184,7.936,7.7419,7.7973,870.5,87
2026-08-27 05:00:00,7.8999,8.0785,7.7972,7.8,1198.1,64
2026-08-27 06:00:00,7.8,7.918,7.3061,7.6735,2899.3,150
2026-08-27 07:00:00,7.6733,8.172,7.49,8.0408,4608.9,398
2026-08-27 08:00:00,8.0407,8.1015,7.7347,8.0971,3347.0,312
2026-08-27 09:00:00,8.0971,8.2857,7.8251,8.0407,4550.4,547
2026-08-27 10:00:00,8.0404,8.2718,7.9,8.1899,2233.1,228
2026-08-27 11:00:00,8.2245,8.288,8.0408,8.2575,1921.4,170
2026-08-27 12:00:00,8.1633,8.3,8.03,8.11,3610.3,229
2026-08-27 13:00:00,8.11,8.2857,8.0485,8.09,3121.7,285
2026-08-27 14:00:00,8.0606,8.2109,7.7371,7.9517,24969.6,1076
2026-08-27 15:00:00,8.015,8.0408,7.9184,7.964,24025.7,10776
2026-08-27 16:00:00,7.964,8.0669,7.9503,7.993,8146.5,4212
2026-08-27 17:00:00,8.0003,8.0978,8.0003,8.0409,3666.9,1996
2026-08-27 18:00:00,8.0255,8.1273,8.0055,8.1059,3241.3,1079
2026-08-27 19:00:00,8.1206,8.1678,8.0644,8.1299,1583.8,500
2026-08-27 20:00:00,8.1474,8.188,8.1062,8.1227,1596.2,476
2026-08-27 21:00:00,8.1374,8.188,8.1062,8.1139,2035.3,506
2026-08-27 22:00:00,8.1278,8.1317,8.1062,8.1084,915.6,410
2026-08-27 23:00:00,8.1262,8.17,8.1062,8.1301,815.7,311
2026-08-28 00:00:00,8.1301,8.172,8.1063,8.1469,777.3,269
2026-08-28 01:00:00,8.149,8.1645,8.1177,8.1416,882.1,364
2026-08-28 02:00:00,8.1416,8.1524,8.1063,8.1332,2913.3,400
2026-08-28 03:00:00,8.1332,8.1823,8.11,8.1549,4972.9,279
2026-08-28 04:00:00,8.1548,8.185,8.1273,8.1667,1863.0,301
2026-08-28 05:00:00,8.1667,8.1848,8.0819,8.1013,13026.9,306
2026-08-28 06:00:00,8.1102,8.1134,8.0055,8.0775,2654.4,255
2026-08-28 07:00:00,8.0775,8.0824,7.8782,7.9376,9954.5,794
2026-08-28 08:00:00,7.9376,7.9446,7.7611,7.7912,21731.5,887
2026-08-28 09:00:00,7.7907,7.8182,7.7614,7.7885,9069.2,500
2026-08-28 10:00:00,7.7885,7.7885,7.4001,7.447,39509.9,2329
2026-08-28 11:00:00,7.4309,7.4372,7.238,7.2508,17673.4,2063
2026-08-28 12:00:00,7.2517,7.3099,6.8253,7.0778,68479.2,8565
2026-08-28 13:00:00,7.0779,7.1037,6.994,7.0737,7568.6,920
2026-08-28 14:00:00,7.0646,7.1323,7.056,7.0948,15903.0,410
2026-08-28 15:00:00,7.089,7.1545,7.044,7.056,4357.0,656
2026-08-28 16:00:00,7.0667,7.1151,7.0,7.09,3741.7,676
2026-08-28 17:00:00,7.09,7.1545,7.0053,7.0372,1555.4,411
2026-08-28 18:00:00,7.1306,7.16,7.0,7.0799,6152.6,1012
2026-08-28 19:00:00,7.0799,7.0963,7.0127,7.0734,5544.7,1213
2026-08-28 20:00:00,7.076,7.0963,7.035,7.0842,3639.2,1557
2026-08-28 21:00:00,7.0873,7.0963,7.01,7.0641,3626.7,1933
2026-08-28 22:00:00,7.0765,7.0963,7.0319,7.0644,4801.7,1729
2026-08-28 23:00:00,7.0643,7.0859,7.0567,7.0567,1130.0,581
2026-08-29 00:00:00,7.0567,7.0963,7.0336,7.0443,5843.9,819
2026-08-29 01:00:00,7.048,7.0864,7.0,7.072,6677.6,3434
2026-08-29 02:00:00,7.0531,7.0865,7.0122,7.0346,4775.5,1418
2026-08-29 03:00:00,7.0475,7.0475,6.9965,7.0052,1207.1,428
2026-08-29 04:00:00,7.0135,7.0375,6.834,6.874,11412.0,1251
2026-08-29 05:00:00,6.8805,6.9473,6.8593,6.9298,4521.6,980
2026-08-29 06:00:00,6.9298,6.9842,6.896,6.9179,2852.3,796
2026-08-29 07:00:00,6.9155,6.9761,6.8928,6.9038,2240.2,573
2026-08-29 08:00:00,6.906,6.9443,6.8567,6.8876,4822.2,798
2026-08-29 09:00:00,6.8876,6.935,6.8093,6.839,8658.0,806
2026-08-29 10:00:00,6.8312,6.9,6.8035,6.8956,5070.0,800
2026-08-29 11:00:00,6.8883,6.9,6.8291,6.8497,1270.3,532
2026-08-29 12:00:00,6.8365,6.8524,6.7122,6.8142,6245.6,1044
2026-08-29 13:00:00,6.8141,6.935,6.74,6.9263,9903.3,1170
2026-08-29 14:00:00,6.9171,6.935,6.8314,6.9025,3187.1,850
2026-08-29 15:00:00,6.8958,6.9271,6.7832,6.8289,4145.0,1003
2026-08-29 16:00:00,6.8213,6.8826,6.8192,6.8719,2278.2,698
2026-08-29 17:00:00,6.8699,6.8863,6.8699,6.873,3076.0,704
2026-08-29 18:00:00,6.8699,6.873,6.8249,6.8343,1682.7,709
2026-08-29 19:00:00,6.837,6.85,6.7993,6.82,1926.7,819
2026-08-29 20:00:00,6.82,7.0618,6.5383,6.8366,29184.6,1603
2026-08-29 21:00:00,6.8125,6.8596,6.7965,6.82,2413.5,505
2026-08-29 22:00:00,6.82,6.8608,6.7638,6.7661,1930.7,509
2026-08-29 23:00:00,6.7661,6.8644,6.7153,6.8194,5485.7,1465
2026-08-30 00:00:00,6.8045,6.8194,6.7473,6.7646,1235.4,363
2026-08-30 01:00:00,6.7476,6.7717,6.7053,6.7183,1549.9,412
2026-08-30 02:00:00,6.7183,6.7875,6.5642,6.5769,12459.0,1034
