Time,Open,High,Low,Close,Volume,Trades
2026-08-27 00:00:00,8.5,9.6,7.29,7.9184,42988.7,1199
2026-08-27 04:00:00,7.9184,8.172,7.3061,8.0408,9576.8,699
2026-08-27 08:00:00,8.0407,8.288,7.7347,8.2575,12051.9,1257
2026-08-27 12:00:00,8.1633,8.3,7.7371,7.964,55727.3,12366
2026-08-27 16:00:00,7.964,8.1678,7.9503,8.1299,16638.5,7787
2026-08-27 20:00:00,8.1474,8.188,8.1062,8.1301,5362.8,1703
2026-08-28 00:00:00,8.1301,8.1823,8.1063,8.1549,9545.6,1312
2026-08-28 04:00:00,8.1548,8.185,7.8782,7.9376,27498.8,1656
2026-08-28 08:00:00,7.9376,7.9446,7.238,7.2508,87984.0,5779
2026-08-28 12:00:00,7.2517,7.3099,6.8253,7.056,96307.8,10551
2026-08-28 16:00:00,7.0667,7.16,7.0,7.0734,16994.4,3312
2026-08-28 20:00:00,7.076,7.0963,7.01,7.0567,13197.6,5800
2026-08-29 00:00:00,7.0567,7.0963,6.9965,7.0052,18504.1,6099
2026-08-29 04:00:00,7.0135,7.0375,6.834,6.9038,21026.1,3600
2026-08-29 08:00:00,6.906,6.9443,6.8035,6.8497,19820.5,2936
2026-08-29 12:00:00,6.8365,6.935,6.7122,6.8289,23481.0,4067
2026-08-29 16:00:00,6.8213,6.8863,6.7993,6.82,8963.6,2930
2026-08-29 20:00:00,6.82,7.0618,6.5383,6.8194,39014.5,4082
2026-08-30 00:00:00,6.8045,6.8194,6.5501,6.6484,26711.3,3653
2026-08-30 04:00:00,6.6493,6.7658,6.565,6.6666,28875.1,5638
2026-08-30 08:00:00,6.649,6.74,6.5849,6.7152,16610.7,3856
2026-08-30 12:00:00,6.7152,6.7378,6.651,6.6985,14531.7,4684
2026-08-30 16:00:00,6.6994,6.7728,6.62,6.7247,18624.0,5291
2026-08-30 20:00:00,6.7262,6.7844,6.6405,6.7535,12048.7,3995
2026-08-31 00:00:00,6.7531,6.7669,6.4294,6.4972,19370.0,4338
2026-08-31 04:00:00,6.4938,6.6507,6.4306,6.4333,27133.0,6097
2026-08-31 08:00:00,6.4338,6.4346,5.4565,5.6464,938378.8,48810
2026-08-31 12:00:00,5.642,5.7933,5.502,5.6431,111646.2,6758
2026-08-31 16:00:00,5.66,5.7499,5.5946,5.7049,17716.2,1889
2026-08-31 20:00:00,5.7049,5.8242,5.6673,5.789,27623.7,4242
2026-09-01 00:00:00,5.7892,6.1387,5.5432,5.9589,949134.4,58617
2026-09-01 04:00:00,5.9566,6.1155,5.8219,6.083,180510.0,24105
2026-09-01 08:00:00,6.084,6.1288,5.9914,6.0717,87523.9,15813
2026-09-01 12:00:00,6.0762,6.108,6.0139,6.068,65967.7,14854
2026-09-01 16:00:00,6.0622,6.1026,5.9187,6.0248,47647.1,3717
2026-09-01 20:00:00,6.0248,6.039,5.9861,6.0272,23992.6,1234
2026-09-02 00:00:00,6.0272,6.1379,5.9815,6.0672,82986.6,3286
2026-09-02 04:00:00,6.0655,6.0745,5.9689,5.9752,32821.3,2313
2026-09-02 08:00:00,5.9794,6.0063,5.8184,5.8891,48854.4,4442
2026-09-02 12:00:00,5.8814,5.93,5.8365,5.8545,13300.5,796
2026-09-02 16:00:00,5.8545,5.876,5.8274,5.8519,3931.6,380
2026-09-02 20:00:00,5.8634,5.9229,5.8169,5.8961,13099.8,666
2026-09-03 00:00:00,5.8751,5.93,5.5631,5.581,66329.9,3466
2026-09-03 04:00:00,5.5779,5.6481,5.2593,5.38,111893.5,11546
2026-09-03 08:00:00,5.3877,5.4291,5.3699,5.4055,6222.0,1302
2026-09-03 12:00:00,5.4028,5.4556,5.3866,5.4419,9372.9,1418
2026-09-03 16:00:00,5.442,5.464,5.3898,5.44,10986.8,1551
2026-09-03 20:00:00,5.4399,5.4399,5.369,5.4003,1845.4,212
2026-09-04 00:00:00,5.4144,5.4187,5.0607,5.1349,108599.3,4845
2026-09-04 04:00:00,5.1354,5.1601,4.8626,4.8789,96728.0,8634
2026-09-04 08:00:00,4.8749,4.94,4.8333,4.8584,32162.4,3425
2026-09-04 12:00:00,4.858,4.9268,4.8319,4.9159,34028.2,4237
2026-09-04 16:00:00,4.9145,4.96,4.885,4.945,8602.3,1121
2026-09-04 20:00:00,4.945,4.9625,4.9161,4.9374,4589.5,888
2026-09-05 00:00:00,4.9466,4.9582,4.9,4.9476,10465.2,1489
2026-09-05 04:00:00,4.9481,4.956,4.94,4.9546,537.2,130
