"DateTime","BNB Chain","Bitcoin","Ethereum","Hyperliquid","Solana","Maker"
"2025-08-31",2257783087.68,125900484380.78355,5238719253.129999,242569989.2,1158158139.2317111,
"2025-09-07",2201929272,125690582781.21059,13787653672.525,244160612.08,1076398329.6852,
"2025-09-14",1806115099.36,130893245584.2533,16693463968.74,595688268.56,1505461592.7668529,
"2025-09-21",1046725796.22,130088705135.80627,17946864049,448555652.16,5899243002.501221,
"2025-09-28",835877797.36,118415889412.27563,15038970692.47,392657789.04,6414216768.883395,
"2025-10-05",875732795.43,141140178300.89236,19325590529.985,453686725.08,6058614731.413705,
"2025-10-12",1022599941.6,123098578020.30748,17719240654.5856,329097055.32,5567075129.247442,
"2025-10-19",825446139.3,115686504988.04785,16801671308.118998,297949637.88,4885571673.580584,
"2025-10-26",837547261.32,116627050923.55493,17081152894.6346,317211856.56,4327841105.8089,
"2025-11-02",806044186.64,109825967843.34477,15948161985.9396,265572717.12,3773211959.9316,
"2025-11-09",651787752,99127544283.65666,13763158656.648397,263933379.36,2962635549.3313193,
"2025-11-16",544242772.92,83412674601.65793,11755848661.764599,210011404.44,2594233745.1580997,
"2025-11-23",572486908.84,72434714192.42784,9372461882.965399,168092960.44,2227447609.0273004,
"2025-11-30",782145302.4,75452810333.6655,11553996911.442799,189052182.44,2563234714.0412,
"2025-12-07",734391029.58,75575414570.74033,17554089581.2632,627923545.7938559,2278530181.1137,
"2025-12-14",750638618.73,79483488729.55995,17891787736.485,602816104.54,2112343058.1759,
"2025-12-21",731141511.75,75509745398.3069,16363929497.943802,599100632.74,1904579215.022,
"2025-12-28",722476130.87,73295863822.22217,14801579531.112999,586723455.7,1882346432.5505,
"2026-01-04",696479988.23,72533237622.7328,16254875147.5424,599214628.06,1917000754.6192002,
"2026-01-11",570831965.47,74252655589.05058,15930112566.7289,601741039.55,1963848161.4473002,
"2026-01-18",688897779.96,82726881425.85164,16630342357.5847,620903186.71,2307856784.9563003,
"2026-01-25",597911280.72,78480932770.2404,15148679586.6841,585564988.05,2057891036.8237,
"2026-02-01",540503132.39,72421365115.77422,13399000828.9493,740020632.98,1773624865.0489712,
"2026-02-08",489594019.72,64643842438.93136,10866949079.448,917035892.22,1367248108.8706367,
"2026-02-15",465764222.3,64194980558.38747,10963129410.0056,825169892.22,1309487517.8355,
"2026-02-22",417021454.85,62940158602.23661,10503325099.678398,793844590.8076648,1232466731.7508001,
"2026-03-01",370445032.62,62760686066.52587,10034770208.6177,733363375.86,1177234443.0593998,
"2026-03-08",376944068.28,64513788867.538765,10199516236.8422,783242262.03,1318846763.0273001,
"2026-03-15",353114270.86,67593096093.82888,10911044615.275648,951733805.61,1386157724.4376001,
"2026-03-22",335783509.1,65534258527.54069,11009068376.740501,921011233.71,1319916798.8726,
"2026-03-29",307621021.24,61382798186.85617,9537559544.4661,889686519.66,1203653380.2634997,
"2026-04-05",291373432.09,59267276337.36234,10002728206.3647,892530117.75,1176041851.1405602,
"2026-04-12",283791223.82,63262956679.01788,10816946979.744701,1069360839.21,1261432644.0703099,347072427.20000005
"2026-04-19",296789295.14,79486580286.93295,12024256707.0998,1168439730.82,1459396330.6553998,334057211.18
"2026-04-26",340116199.54,81078441863.78067,11597643232.872198,1093489443.3899999,1400412516.3831,288503955.11
"2026-05-03",342282544.76,83509066642.87053,11508189072.8167,1134657936.06,1365962627.9603,284165549.77000004
"2026-05-10",348781580.42,87972419332.0329,11765434512.448,1174765361.2,1469091335.4381,353580035.21
"2026-05-17",295706122.53,83439395936.04001,10617137177.27455,1218215510.88,1219494503.8021,355749237.88
"2026-05-24",284874396.43,77268220442.98724,10262077685.736898,1333459544.46,1393183721.1348,305857576.46999997
"2026-05-31",316286402.12,77025126641.59831,12250079731.946201,1677453990.5,1342733714.7,275488739.09000003
"2026-06-07",233965283.76,60480364256.529106,10144057107.098398,1432374386.17,1082350526.5984,242950699.04000002
"2026-06-14",222050385.05,64725038508.63858,10359938198.1194,1444821889.76,1178419775.2835,219089469.67000002
"2026-06-21",243713837.25,60281218010.458725,10439903964.152699,1567943676.35,1189899680.8467,264642725.73999998
"2026-06-28",329284473.44,48498029291.66202,8988102539.086899,1536829625.98,1122991156.1093,240781496.37000003
"2026-07-05",292456604.7,62216970820.44202,9339257211.641499,1539271940.13,1275998261.435,295011563.12
"2026-07-12",315203229.51,57640901890.954,9697839516.513899,1538295014.47,1187837335.9073,288503955.11
"2026-07-19",317369574.73,56531631109.414,10032042616.6238,1521198815.42,1124818154.1378,271150333.75
"2026-07-26",302205158.19,56091859677.564,10121746160.990501,1509964170.33,1063259114.6487999,238612293.70000002
"2026-08-02",288123914.26,56182591623.78401,11050335962.086103,2215400539.52,1063266134.9635681,276913088.5
"2026-08-09",254545563.35,59385949552.33401,11898887656.6378,2218331316.5,1129470091.7317998,248017809.70000002
"2026-08-16",283791223.82,57116225540.40401,11574489701.966702,2219308242.16,1117060253.0396,248017809.70000002
"2026-08-23",341199372.15,69281740652.20401,14317208135.7793,2241777532.3399997,1342060925.6631,274505148.59999996
