datetime_utc,timestamp_ms,open,high,low,close,volume_shares,volume_usd,trade_count
2026-07-26 00:30:00+00:00,1785025800000,1217.5,1217.6,1216.3,1216.8,276.492,336435.4656,280
2026-07-26 00:45:00+00:00,1785026700000,1216.7,1216.8,1213.3,1215.6,664.283,807502.4147999999,579
2026-07-26 01:00:00+00:00,1785027600000,1215.6,1217.9,1215.6,1217.6,131.098,159624.9248,199
2026-07-26 01:15:00+00:00,1785028500000,1217.6,1227.8,1217.3,1226.8,1617.502,1984351.4536,1126
2026-07-26 01:30:00+00:00,1785029400000,1226.8,1229.4,1223.0,1223.0,1179.843,1442947.989,1067
2026-07-26 01:45:00+00:00,1785030300000,1223.0,1223.8,1221.6,1222.3,400.339,489334.3597,383
2026-07-26 02:00:00+00:00,1785031200000,1222.1,1224.2,1221.1,1223.5,360.9,441561.14999999997,330
2026-07-26 02:15:00+00:00,1785032100000,1223.4,1225.8,1223.2,1224.3,184.331,225676.44329999998,261
2026-07-26 02:30:00+00:00,1785033000000,1224.2,1224.8,1222.4,1223.4,329.361,402940.2474,325
2026-07-26 02:45:00+00:00,1785033900000,1223.5,1223.7,1222.4,1223.3,247.301,302523.3133,264
2026-07-26 03:00:00+00:00,1785034800000,1223.2,1225.3,1223.2,1224.3,306.057,374705.5851,366
2026-07-26 03:15:00+00:00,1785035700000,1224.2,1226.0,1224.2,1225.8,263.037,322430.7546,279
2026-07-26 03:30:00+00:00,1785036600000,1225.9,1228.5,1225.7,1227.6,530.277,650968.0452,540
2026-07-26 03:45:00+00:00,1785037500000,1227.7,1228.5,1225.5,1225.6,496.747,608813.1231999999,422
2026-07-26 04:00:00+00:00,1785038400000,1225.7,1229.0,1225.6,1227.1,512.311,628656.8281,444
2026-07-26 04:15:00+00:00,1785039300000,1227.1,1233.3,1227.1,1232.7,2579.361,3179578.3046999997,1100
2026-07-26 04:30:00+00:00,1785040200000,1232.8,1232.8,1228.0,1229.5,879.65,1081529.675,705
2026-07-26 04:45:00+00:00,1785041100000,1229.4,1231.6,1228.8,1230.0,452.398,556449.54,369
2026-07-26 05:00:00+00:00,1785042000000,1229.8,1229.8,1227.9,1227.9,318.581,391185.60990000004,296
2026-07-26 05:15:00+00:00,1785042900000,1227.9,1228.5,1223.7,1224.3,533.636,653330.5547999999,516
2026-07-26 05:30:00+00:00,1785043800000,1224.4,1227.0,1224.4,1226.4,224.425,275234.82,268
2026-07-26 05:45:00+00:00,1785044700000,1226.4,1229.7,1226.3,1228.3,455.18,559097.594,450
2026-07-26 06:00:00+00:00,1785045600000,1228.2,1229.0,1226.7,1227.3,326.315,400486.3995,394
2026-07-26 06:15:00+00:00,1785046500000,1227.6,1228.8,1226.9,1228.0,257.034,315637.752,261
2026-07-26 06:30:00+00:00,1785047400000,1228.2,1228.5,1227.0,1227.2,177.641,218001.03519999998,370
2026-07-26 06:45:00+00:00,1785048300000,1227.5,1231.9,1227.5,1229.5,978.147,1202631.7365,719
2026-07-26 07:00:00+00:00,1785049200000,1229.6,1231.7,1222.9,1226.4,1419.379,1740726.4056,1181
2026-07-26 07:15:00+00:00,1785050100000,1226.4,1227.8,1221.8,1223.0,970.183,1186533.809,825
2026-07-26 07:30:00+00:00,1785051000000,1223.1,1225.0,1223.1,1223.6,630.79,771834.6439999999,508
2026-07-26 07:45:00+00:00,1785051900000,1223.8,1224.2,1221.3,1221.6,999.351,1220807.1816,862
2026-07-26 08:00:00+00:00,1785052800000,1221.5,1222.6,1217.6,1219.4,951.028,1159683.5432000002,853
2026-07-26 08:15:00+00:00,1785053700000,1219.1,1219.4,1217.0,1217.2,753.766,917483.9752,916
2026-07-26 08:30:00+00:00,1785054600000,1217.0,1217.6,1213.4,1215.2,1136.608,1381206.0415999999,1386
2026-07-26 08:45:00+00:00,1785055500000,1215.2,1222.8,1214.7,1220.1,1223.588,1492899.7188,1133
2026-07-26 09:00:00+00:00,1785056400000,1219.8,1219.9,1208.8,1214.5,1623.258,1971446.841,1822
2026-07-26 09:15:00+00:00,1785057300000,1214.7,1218.0,1214.5,1215.8,614.343,746918.2194,712
2026-07-26 09:30:00+00:00,1785058200000,1215.8,1219.0,1214.8,1218.7,718.665,875837.0355,755
2026-07-26 09:45:00+00:00,1785059100000,1218.6,1222.7,1218.3,1221.3,1520.804,1857357.9252,871
2026-07-26 10:00:00+00:00,1785060000000,1221.3,1225.0,1220.7,1223.6,592.745,725282.782,551
2026-07-26 10:15:00+00:00,1785060900000,1223.6,1225.9,1223.0,1225.2,410.626,503098.9752,388
2026-07-26 10:30:00+00:00,1785061800000,1225.5,1225.8,1223.8,1225.6,407.331,499224.8736,383
