Fiscal Year,No. of Applications,No. of Admission
2005/06,27,12
2006/07,39,19
2007/08,23,16
2008/09,19,15
2009/10,87,32
2010/11,71,28
2011/12,115,34
2012/13,186,33
2013/14,206,30
2014/15,266,51
2015/16,302,51
2016/17,515,102
2017/18,754,104
2018/19,677,108
2019/20,607,129
2020/21,649,130
2021/22,465,130
2022/23,460,129
2023/24,484,88
2024/25,142,19
2025/26,35,5
