Centre,Space, Occupancy Rate,Area (sq. ft.)
Cyberport,1,79.00%,"142,331"
Cyberport,2,77.00%,"185,228"
Cyberport,3,77.60%,"515,555"
Cyberport,4,100%,"82,851"
